,Experience (YY.MM),Age in YY.,Stay/Left,New Location,New Promotion,New Job Role Match,Agency,Direct,Employee Referral,Marr.,Single,other status,B1,B2,B3,other group,< =1,> 1 & < =3,Operation,Sales,Support,Female,Male,other
93,5.01,25.09,Left,6,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
94,9.07,37.1,Left,6,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
95,3.07,25.07,Left,3,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
96,5.01,28.06,Stay,6,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
97,2.06,24.1,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
98,7.07,33.08,Stay,7,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
99,3.02,27.07,Stay,7,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
100,9.08,36.06,Stay,4,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
101,9.11,35.08,Stay,6,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
102,6.08,28.02,Left,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
103,7.08,30.04,Left,6,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
104,4.1,29.05,Left,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
105,4.01,27.07,Left,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
106,3.1,27.06,Left,5,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
107,0.08,22.07,Stay,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
108,1.05,25.04,Stay,6,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
109,2.02,25.06,Stay,5,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
110,4.08,27.1,Left,6,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
111,9.01,33.08,Left,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
112,4.01,25.06,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
113,6.1,33.02,Stay,5,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
114,3.01,31.01,Stay,7,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
115,3.08,26.01,Left,3,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
116,6.08,27.04,Left,3,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
117,1.09,24.04,Stay,5,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
118,4.08,30.07,Left,7,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
119,15.03,50.07,Stay,7,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
120,5.05,29.09,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
121,9.09,34.04,Stay,6,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
122,25.08,40.04,Stay,6,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
123,4.1,28.09,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
124,11.04,25.04,Stay,6,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
125,6.09,30.01,Stay,7,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
126,5.05,29.02,Stay,7,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
127,10.09,36.0,Stay,7,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
128,3.02,27.03,Stay,6,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
129,1.08,30.06,Stay,7,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
130,0.08,24.02,Left,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
131,0.09,30.01,Stay,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
132,5.02,28.02,Left,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
133,5.01,28.07,Left,4,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
134,8.09,32.09,Stay,6,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
135,12.09,35.12,Stay,7,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
136,10.09,37.07,Stay,7,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
137,10.09,33.07,Left,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
138,4.03,30.11,Stay,5,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
139,4.03,27.07,Stay,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
140,5.09,35.06,Left,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
141,4.08,30.09,Left,3,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
142,1.09,28.11,Left,6,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
143,2.11,30.1,Left,5,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
144,6.01,30.08,Stay,7,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
145,9.02,32.03,Stay,7,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
146,5.05,26.06,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
147,8.11,38.06,Stay,7,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
148,11.03,36.11,Stay,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
149,11.03,35.04,Stay,2,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
